"yearID","lgID","salary","POS","GS","PO","A","E","DP","AB","R","H","X2B","X3B","HR","RBI","BB","SO","IBB","HBP","SH","SF","GIDP"
2011,"AL",414001,"P",4,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,"AL",501001,"1B",3,14,2,1,1,102,14,18,4,1,2,9,11,28,1,1,2,3,3
2014,"AL",501001,"OF",23,61,2,1,1,102,14,18,4,1,2,9,11,28,1,1,2,3,3
2009,"AL",400001,"P",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2004,"AL",301001,"P",1,5,9,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,"NL",500501,"2B",16,28,53,3,11,98,11,24,7,1,1,6,6,23,2,2,3,2,3
2014,"NL",500501,"3B",1,1,3,1,1,98,11,24,7,1,1,6,6,23,2,2,3,2,3
2014,"NL",500501,"SS",6,6,17,1,3,98,11,24,7,1,1,6,6,23,2,2,3,2,3
2016,"NL",512501,"2B",4,4,9,1,3,64,4,17,3,1,3,8,3,14,1,3,5,1,1
2016,"NL",512501,"SS",7,9,25,3,3,64,4,17,3,1,3,8,3,14,1,3,5,1,1
2016,"NL",512501,"3B",2,1,2,1,1,64,4,17,3,1,3,8,3,14,1,3,5,1,1
1990,"AL",100001,"C",3,14,1,1,1,15,1,3,1,1,1,3,1,7,1,1,1,2,1
1992,"NL",130001,"C",11,58,3,1,2,35,4,7,2,3,1,5,6,13,1,1,2,1,1
2002,"AL",200001,"P",8,5,15,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2003,"AL",313001,"P",19,5,20,2,3,7,1,3,1,1,1,3,2,2,1,1,1,1,1
2004,"AL",350001,"P",9,4,13,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2005,"AL",950001,"P",1,2,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,"AL",1000001,"P",10,1,7,2,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1
2007,"NL",1250001,"P",1,3,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,"NL",3000001,"P",1,8,23,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,"NL",3500001,"P",1,5,13,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1
2010,"NL",4000001,"P",1,4,16,4,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
2011,"NL",4500001,"P",1,8,12,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1
2012,"NL",5000001,"P",1,6,14,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,"NL",6000001,"P",1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,"NL",6000001,"P",1,1,21,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,"NL",6000001,"P",1,4,7,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1
1999,"NL",200001,"OF",71,122,3,3,1,277,43,80,19,4,15,43,33,61,5,4,1,4,9
2000,"NL",220001,"OF",95,156,4,5,1,351,60,102,20,2,16,61,55,69,3,8,1,4,7
2001,"NL",260001,"OF",83,124,2,7,1,297,29,83,15,3,7,28,37,74,1,6,2,2,12
2002,"NL",600001,"OF",32,54,2,1,1,118,11,25,6,1,5,20,11,36,1,1,1,2,5
1985,"AL",147501,"P",1,11,16,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987,"NL",100001,"P",1,4,11,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1
1988,"NL",157501,"P",1,13,35,3,1,6,1,1,1,1,1,1,1,1,1,1,2,1,1
1989,"NL",610001,"P",1,5,20,4,3,6,1,2,1,1,1,1,1,3,1,1,1,1,1
1990,"NL",850001,"P",1,12,19,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1
1991,"NL",1166668,"P",1,6,18,3,3,4,1,2,1,1,1,1,2,3,1,1,1,1,1
1992,"NL",1666668,"P",1,1,13,1,2,5,1,1,1,1,1,1,1,3,1,1,1,1,1
1985,"NL",237001,"2B",4,28,26,2,6,166,28,47,8,4,7,22,23,27,6,7,5,4,8
1985,"NL",237001,"SS",37,62,118,9,22,166,28,47,8,4,7,22,23,27,6,7,5,4,8
1985,"NL",237001,"3B",4,5,17,1,2,166,28,47,8,4,7,22,23,27,6,7,5,4,8
1986,"NL",275001,"2B",17,33,58,4,11,134,18,29,7,2,5,14,9,27,1,4,1,3,4
1986,"NL",275001,"SS",15,26,34,3,10,134,18,29,7,2,5,14,9,27,1,4,1,3,4
1986,"NL",275001,"3B",1,1,1,1,1,134,18,29,7,2,5,14,9,27,1,4,1,3,4
1987,"NL",325001,"SS",50,82,155,8,30,210,26,44,10,2,13,22,16,57,2,6,4,3,6
1987,"NL",325001,"3B",1,2,3,1,1,210,26,44,10,2,13,22,16,57,2,6,4,3,6
1987,"NL",325001,"2B",4,5,17,1,2,210,26,44,10,2,13,22,16,57,2,6,4,3,6
1988,"NL",375001,"SS",18,33,56,4,13,98,10,25,4,1,4,6,14,18,3,1,2,1,3
1988,"NL",375001,"2B",3,7,8,1,4,98,10,25,4,1,4,6,14,18,3,1,2,1,3
1988,"NL",375001,"3B",7,10,14,5,2,98,10,25,4,1,4,6,14,18,3,1,2,1,3
1989,"AL",275001,"3B",13,10,30,3,2,98,8,18,5,2,2,9,8,20,1,3,4,4,5
1989,"AL",275001,"2B",10,18,29,1,8,98,8,18,5,2,2,9,8,20,1,3,4,4,5
1989,"AL",275001,"SS",5,9,24,4,4,98,8,18,5,2,2,9,8,20,1,3,4,4,5
2005,"NL",316001,"OF",13,41,2,1,1,79,12,20,4,1,1,5,4,20,1,1,1,1,1
2006,"NL",327001,"OF",19,40,3,1,1,96,6,23,9,2,1,8,10,27,2,1,1,1,3
1986,"NL",130001,"P",21,14,27,1,2,52,5,9,1,1,3,7,4,13,1,1,4,1,1
1987,"NL",195001,"P",18,8,30,3,2,41,6,10,2,1,2,4,2,18,1,1,7,1,1
1988,"NL",295001,"P",4,4,6,1,1,5,2,2,1,1,1,1,1,2,1,1,1,1,1
1989,"NL",310001,"P",1,3,9,2,1,8,2,1,1,1,1,1,2,3,1,1,1,1,1
1990,"AL",648001,"P",1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1991,"AL",1533334,"P",1,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1992,"AL",2308334,"P",1,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1993,"AL",2433334,"P",1,13,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1994,"AL",3260001,"P",1,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1995,"AL",4350001,"P",1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1996,"AL",3500001,"P",20,14,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1997,"AL",3075001,"P",1,6,14,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1998,"AL",2750001,"P",1,4,10,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1999,"AL",4300001,"P",1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000,"NL",3500001,"P",1,7,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,"NL",508501,"SS",117,191,369,14,85,422,50,96,18,7,10,35,30,82,2,2,6,4,5
2016,"NL",521601,"SS",81,112,274,11,62,285,27,63,10,2,5,21,16,59,4,5,3,4,10
2002,"NL",200001,"P",5,2,9,1,1,7,2,2,2,1,1,1,1,2,1,1,2,1,1
2003,"NL",302001,"P",12,5,7,1,1,23,1,2,1,1,1,1,1,8,1,1,5,1,1
2004,"AL",315001,"P",8,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987,"AL",62501,"P",14,1,12,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1991,"NL",165001,"P",1,3,13,2,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1
2008,"AL",393226,"P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,"AL",403076,"P",1,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016,"AL",511501,"3B",5,2,15,1,2,57,3,9,2,1,1,6,1,18,1,1,3,1,2
2016,"AL",511501,"SS",7,14,34,1,11,57,3,9,2,1,1,6,1,18,1,1,3,1,2
2016,"AL",511501,"2B",4,9,10,2,3,57,3,9,2,1,1,6,1,18,1,1,3,1,2
2016,"AL",511501,"1B",2,14,2,1,3,57,3,9,2,1,1,6,1,18,1,1,3,1,2
1995,"AL",109001,"P",1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,"AL",395001,"P",4,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,"AL",410001,"P",1,5,7,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
2010,"AL",680001,"P",1,7,16,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,"AL",875001,"P",1,2,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,"AL",1075001,"P",1,2,8,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,"AL",1750001,"P",1,5,12,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
